ID,Name
1,"Seabrook, City of"
4,Northern State University
8,City of Anaheim
9,Anchorage School District
11,Advanced Broadcast Solutions
12,Boreal Media Technologies (Out of Business)
13,^Gencom Technology
32,Kirkwood Community College
33,"Burst Communications,Inc"
41,City of Coralville
42,Forsyth County Board of Commissioners
64,"Hoffman Estates, Village of"
71,Allegany County IT Department
85,Larchmont-Mamaroneck Community Television (LMC-TV)
86,"Manchester, Town of"
87,"McFarland, Village of"
91,"Prestige Cruise Holdings, Inc."
102,Illinois Eastern Community Colleges
105,M-PACT
106,"Peabody Access Telecommunications, Inc."
108,AVDB Group
110,PACTV
112,"Port St. Lucie, FL"
117,Town of Rehoboth Community TV
118,Rochester Community Technical College
122,Mid Willamette Valley
123,Community Access TV of Salina
124,City of San Carlos
133,South Suburban College
139,North St. Paul Schools
140,Cooperative Telephone Exchange
143,"City of Stoughton, WI"
151,Lincoln County TV
154,West Hartford Community TV (WHC-Tv)
155,Westborough TV
156,Trempealeau County Community Television
159,WilliNet Inc.
162,City of Worcester
164,Town of South Windsor
165,Mashpee High
166,New London Public Schools
167,AWCA-TV (Ashburnham Westminster Community Access Television)
168,Acushnet Community Access TV
170,Town of Agawam
171,Alameda Unified School District
175,St. Michael/Albertville School
178,Algona High School
184,"Apple Valley,Farmington,& Rosemount Cable Commission"
187,TSAV
196,"ZVS - Media, LLC"
199,Design and Integration Inc.
200,"Nelson White Systems, Inc."
201,"Polk County Schools, FL"
202,SAIA Electric
206,TVCTV
209,"City of Bellevue, NE"
210,Catamount Access Television
212,"Media Visions, Inc"
213,AVI - Bismark
214,Dakota Media Access
215,Bloomfield Hills School District
222,Rule Broadcast Systems
223,Bourne High School
229,Massasoit Community College
237,"Studio Spectrum, Inc."
246,Technical Video Systems
250,5280 Digital
254,NCCTV-New Castle Community Media Center
255,"Time Warner Cable Charlotte, NC"
259,Town of Charlton
267,City of Chino Hills
275,"Mt. Juliet, City of"
279,Command Corp.
282,Cold Spring Channel 10
286,Columbia Access Television (CAT-TV)
289,Horry County
291,"City of Coral Springs, FL"
292,"City of Corvallis, OR"
293,Town of Cottage City
298,Structured Cabling Systems
302,Dartmouth Community TV - DCTV 18
303,"ECS, Inc."
304,Davis Media Access
308,DeKalb County Schools
311,Deerfield Community Cable - WDEE
314,Open Media Foundation Denver
318,City of Des Moines
327,Dover Sherborn Cable TV
330,"Dubuque, IA, City of"
331,Loras College
342,"VMI, Western WA"
344,City of El Segundo
346,Dennis Dutra - Dutra Video Systems
350,Ely TV
358,Everett Community TV
362,Town of Exeter
377,City of Florissant
378,Mendocino Coast TV
379,City of Fort Collins
384,Frostburg State University
388,VMI Southern California
389,City of Gary
391,City of Golden Valley
395,"TriStar Digital Connections, LLC"
400,Grand Forks Public Schools
403,Grand Rapids Community Media Center
404,"Central Interconnect, Inc"
406,Itasca Community Television (ICTV)
417,Citizens Television
418,Hampstead Cable Adv. Board
422,Hastings Public Access
423,Haverhill Community Television
424,NDSU
430,Chabot College
438,Hingham High School
441,Isys Corporation
443,iVideo Technologies
444,Ford AV - Houston
450,City of Huntington Park
454,Town of Barnstable
466,Contract Video Specialists
474,Diversified Systems
480,La Porte Independent School District
489,Lawrence Community Access Television
490,"Lawndale, CA, City of"
398,"AVI Systems : AVI Systems-Grand Forks, ND"
12897,AVI Systems : AVI Systems-Sioux Falls SD
12899,AVI Systems : AVI Systems-Fargo ND
500,VSA Inc.
501,Maverick Transportation
503,Londonderry Access Community TV
508,Lowell Telecommunications Corp.
512,Okemo Valley TV
519,Open Sytem Integrators
522,Mansfield Cable Access
524,Osseo School District ISD 279
535,Medfield TV
541,Merrimac Access
543,Mesquite ISD
548,Middleton Cross Plains HS
549,"City of Midland, MI"
562,Digital Video Systems
567,HB Communications Inc. - NJ
575,Nash-Rocky Mount Public Schools
580,City of New London
585,NCM Hub (dba PortMedia)
605,Montville High School
606,City of O'Fallon
609,Eliminating Global Boundries
613,SUNY Oswego
618,"Palm Coast, FL"
633,Pittsfield Community Television (PCTV)
634,Timberlane Education Network
641,Portland Public Schools (TV3)
643,"Accelerate Global Sales, Inc"
646,"Prior Lake, City of"
647,Regional School Dist 16
648,PTV - Provincetown Television
669,"City of Roseville, CA"
674,Village of Rye Brook
675,Access Sacramento
678,CEC TV Dixie State College St George Utah
681,"St. Peters, City of"
684,Salisbury Community TV
689,San Antonio College
693,CCS Presentations Systems- San Diego
699,CCS Presentations Systems- San Jose
701,City of San Jose
710,Cable 9 Seekonk
717,Shirley Public Access Corporation
718,Shoreline Public Schools
724,Somerville TV
728,Southborough Access Media
735,Lake Minnetonka Communications Commission
739,Lindenwood University
742,Kingdom Access TV
743,VSG/ISG
768,Swampscott Public Schools
771,Tampa Bay Community Network
777,Advanced Lighting & Sound
780,Mendocino Access TV
783,The Champaign Telephone Co.
788,"Brevard County School System, FL"
793,Rossmoor Television Ch28
795,"HB Communications, Inc. (Don't Use)"
801,"Watsonville, City of"
826,Hiawatha Broadband Communications
830,Winthrop Community Access TV
835,YCTV/Y-PAC
836,City of Yakima
844,"City of Arvada, CO"
858,Charles County Public Schools
859,ChicopeeTV
862,City of Edina
8992,City of Edina : Southwest Suburban Cable Commission
864,City of Garland Texas
884,"Farmington School District, ISD 192"
893,ICTV - City of Irvine
896,ISD 192
899,"KERN Group, INC., The"
903,City of Long Beach
906,Mashpee TV
909,Minnetonka School District
